company,product,date,price
Завод litsey-tsvetnyh-metallov,Металлопродукция,2024-12-07,110.2
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-07,119.76
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2024-12-07,129.04
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-07,109.82
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-07,132.76
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-07,129.03
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-07,121.01
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2024-12-14,275.01
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2024-12-14,97.11
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2024-12-14,2403.09
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2024-12-14,296.93
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2024-12-14,76.5
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2024-12-14,136.26
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2024-12-14,19459.9
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2024-12-14,105.23
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2024-12-14,2869.39
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2024-12-14,17743.95
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2024-12-14,2338.93
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2024-12-14,62.22
66 Металлообрабатывающий завод,Провода,2024-12-14,127.8
66 Металлообрабатывающий завод,Металлоконструкции,2024-12-14,76254.86
Лепсе,Арматура,2024-12-14,122.97
Лепсе,Сетки металлические,2024-12-14,109.27
Завод Сельмаш,Корпуса,2024-12-14,4542.78
Лискимонтажконструкция,Металлоконструкции,2024-12-14,67728.66
Лискимонтажконструкция,Рессоры,2024-12-14,16082.07
Лискимонтажконструкция,Стальные изделия,2024-12-14,138.4
Завод корпусов,Стальные изделия,2024-12-14,115.61
Завод корпусов,Металлоконструкции,2024-12-14,59165.56
Завод корпусов,Корпуса,2024-12-14,4775.09
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2024-12-14,122.48
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-12-14,118.53
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-12-14,107.6
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2024-12-14,141.36
Завод litsey-tsvetnyh-metallov,Металлопродукция,2024-12-14,112.88
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-14,122.74
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2024-12-14,127.69
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-14,107.11
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-14,140.29
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-14,126.11
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-14,120.79
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2024-12-21,294.08
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2024-12-21,98.91
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2024-12-21,2554.36
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2024-12-21,302.07
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2024-12-21,77.6
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2024-12-21,130.85
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2024-12-21,18901.06
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2024-12-21,102.15
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2024-12-21,2798.16
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2024-12-21,17405.96
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2024-12-21,2365.44
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2024-12-21,65.36
66 Металлообрабатывающий завод,Провода,2024-12-21,121.74
66 Металлообрабатывающий завод,Металлоконструкции,2024-12-21,70254.98
Лепсе,Арматура,2024-12-21,115.86
Лепсе,Сетки металлические,2024-12-21,114.87
Завод Сельмаш,Корпуса,2024-12-21,4938.08
Лискимонтажконструкция,Металлоконструкции,2024-12-21,67594.17
Лискимонтажконструкция,Рессоры,2024-12-21,17001.1
Лискимонтажконструкция,Стальные изделия,2024-12-21,138.85
Завод корпусов,Стальные изделия,2024-12-21,115.93
Завод корпусов,Металлоконструкции,2024-12-21,57285.89
Завод корпусов,Корпуса,2024-12-21,4489.23
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2024-12-21,122.31
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-12-21,114.24
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-12-21,112.88
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2024-12-21,133.87
Завод litsey-tsvetnyh-metallov,Металлопродукция,2024-12-21,112.38
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-21,116.81
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2024-12-21,123.32
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-21,101.98
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-21,130.79
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-21,136.07
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-21,125.41
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2024-12-30,260.05
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2024-12-30,95.51
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2024-12-30,2405.13
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2024-12-30,278.99
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2024-12-30,71.75
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2024-12-30,121.34
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2024-12-30,15990.23
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2024-12-30,119.05
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2024-12-30,2434.79
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2024-12-30,15305.81
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2024-12-30,2156.05
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2024-12-30,65.4
66 Металлообрабатывающий завод,Провода,2024-12-30,125.88
66 Металлообрабатывающий завод,Металлоконструкции,2024-12-30,65408.1
Лепсе,Арматура,2024-12-30,108.56
Лепсе,Сетки металлические,2024-12-30,113.91
Завод Сельмаш,Корпуса,2024-12-30,4217.88
Лискимонтажконструкция,Металлоконструкции,2024-12-30,70466.04
Лискимонтажконструкция,Рессоры,2024-12-30,17701.42
Лискимонтажконструкция,Стальные изделия,2024-12-30,110.22
Завод корпусов,Стальные изделия,2024-12-30,128.87
Завод корпусов,Металлоконструкции,2024-12-30,56330.38
Завод корпусов,Корпуса,2024-12-30,4900.25
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2024-12-30,101.81
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-12-30,120.47
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-12-30,124.97
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2024-12-30,104.08
Завод litsey-tsvetnyh-metallov,Металлопродукция,2024-12-30,121.86
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-30,123.74
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2024-12-30,117.35
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-30,134.97
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-30,110.03
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-30,120.69
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-12-30,117.62
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-01-06,240.75
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-01-06,97.34
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-01-06,2365.22
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-01-06,252.69
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-01-06,69.31
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-01-06,129.04
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-01-06,15519.75
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-01-06,120.84
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-01-06,2460.48
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-01-06,14933.75
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-01-06,2046.44
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-01-06,70.46
66 Металлообрабатывающий завод,Провода,2025-01-06,127.7
66 Металлообрабатывающий завод,Металлоконструкции,2025-01-06,63758.79
Лепсе,Арматура,2025-01-06,105.32
Лепсе,Сетки металлические,2025-01-06,121.15
Завод Сельмаш,Корпуса,2025-01-06,4207.58
Лискимонтажконструкция,Металлоконструкции,2025-01-06,69459.76
Лискимонтажконструкция,Рессоры,2025-01-06,16810.09
Лискимонтажконструкция,Стальные изделия,2025-01-06,118.26
Завод корпусов,Стальные изделия,2025-01-06,121.51
Завод корпусов,Металлоконструкции,2025-01-06,55056.66
Завод корпусов,Корпуса,2025-01-06,4930.08
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-01-06,102.07
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-01-06,115.76
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-01-06,118.19
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-01-06,99.3
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-01-06,123.82
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-06,123.07
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-01-06,114.57
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-06,123.75
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-06,112.91
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-06,130.46
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-06,115.39
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-01-13,245.8
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-01-13,95.74
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-01-13,2495.65
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-01-13,254.14
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-01-13,71.48
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-01-13,132.19
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-01-13,15624.91
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-01-13,121.93
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-01-13,2641.47
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-01-13,14557.42
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-01-13,2053.54
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-01-13,65.57
66 Металлообрабатывающий завод,Провода,2025-01-13,130.37
66 Металлообрабатывающий завод,Металлоконструкции,2025-01-13,68424.07
Лепсе,Арматура,2025-01-13,105.95
Лепсе,Сетки металлические,2025-01-13,115.67
Завод Сельмаш,Корпуса,2025-01-13,4348.75
Лискимонтажконструкция,Металлоконструкции,2025-01-13,72104.39
Лискимонтажконструкция,Рессоры,2025-01-13,17825.12
Лискимонтажконструкция,Стальные изделия,2025-01-13,111.63
Завод корпусов,Стальные изделия,2025-01-13,126.74
Завод корпусов,Металлоконструкции,2025-01-13,57846.46
Завод корпусов,Корпуса,2025-01-13,4648.45
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-01-13,96.4
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-01-13,121.25
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-01-13,114.88
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-01-13,97.65
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-01-13,118.92
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-13,125.71
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-01-13,111.25
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-13,135.77
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-13,115.57
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-13,129.16
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-13,116.58
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-01-20,248.85
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-01-20,97.67
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-01-20,2544.55
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-01-20,275.97
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-01-20,69.13
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-01-20,128.59
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-01-20,14922.18
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-01-20,126.17
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-01-20,2436.59
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-01-20,14663.93
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-01-20,2181.88
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-01-20,70.43
66 Металлообрабатывающий завод,Провода,2025-01-20,128.24
66 Металлообрабатывающий завод,Металлоконструкции,2025-01-20,66098.57
Лепсе,Арматура,2025-01-20,108.84
Лепсе,Сетки металлические,2025-01-20,118.42
Завод Сельмаш,Корпуса,2025-01-20,4506.54
Лискимонтажконструкция,Металлоконструкции,2025-01-20,69177.33
Лискимонтажконструкция,Рессоры,2025-01-20,17387.57
Лискимонтажконструкция,Стальные изделия,2025-01-20,111.75
Завод корпусов,Стальные изделия,2025-01-20,131.95
Завод корпусов,Металлоконструкции,2025-01-20,54051.57
Завод корпусов,Корпуса,2025-01-20,4817.15
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-01-20,102.17
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-01-20,118.2
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-01-20,114.77
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-01-20,96.75
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-01-20,119.35
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-20,121.08
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-01-20,112.03
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-20,129.99
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-20,111.71
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-20,130.78
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-20,113.62
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-01-29,302.56
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-01-29,82.9
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-01-29,2498.42
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-01-29,284.4
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-01-29,84.26
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-01-29,103.33
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-01-29,18173.12
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-01-29,112.49
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-01-29,2279.32
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-01-29,19284.05
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-01-29,2538.8
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-01-29,61.11
66 Металлообрабатывающий завод,Провода,2025-01-29,99.47
66 Металлообрабатывающий завод,Металлоконструкции,2025-01-29,61312.08
Лепсе,Арматура,2025-01-29,113.32
Лепсе,Сетки металлические,2025-01-29,106.31
Завод Сельмаш,Корпуса,2025-01-29,4333.15
Лискимонтажконструкция,Металлоконструкции,2025-01-29,56082.93
Лискимонтажконструкция,Рессоры,2025-01-29,16100.62
Лискимонтажконструкция,Стальные изделия,2025-01-29,118.23
Завод корпусов,Стальные изделия,2025-01-29,118.89
Завод корпусов,Металлоконструкции,2025-01-29,57390.84
Завод корпусов,Корпуса,2025-01-29,4809.07
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-01-29,117.93
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-01-29,123.94
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-01-29,101.98
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-01-29,122.94
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-01-29,108.3
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-29,100.05
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-01-29,121.54
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-29,106.13
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-29,105.47
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-29,122.12
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-01-29,106.32
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-02-05,282.06
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-02-05,77.81
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-02-05,2533.22
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-02-05,299.57
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-02-05,80.74
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-02-05,111.7
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-02-05,17072.85
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-02-05,113.69
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-02-05,2182.07
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-02-05,19124.56
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-02-05,2634.02
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-02-05,64.83
66 Металлообрабатывающий завод,Провода,2025-02-05,107.81
66 Металлообрабатывающий завод,Металлоконструкции,2025-02-05,66244.6
Лепсе,Арматура,2025-02-05,114.34
Лепсе,Сетки металлические,2025-02-05,108.4
Завод Сельмаш,Корпуса,2025-02-05,4211.26
Лискимонтажконструкция,Металлоконструкции,2025-02-05,58328.06
Лискимонтажконструкция,Рессоры,2025-02-05,17120.34
Лискимонтажконструкция,Стальные изделия,2025-02-05,117.93
Завод корпусов,Стальные изделия,2025-02-05,117.96
Завод корпусов,Металлоконструкции,2025-02-05,53711.61
Завод корпусов,Корпуса,2025-02-05,4612.2
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-02-05,127.56
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-02-05,124.45
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-02-05,95.0
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-02-05,131.56
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-02-05,113.24
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-05,99.2
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-02-05,121.74
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-05,110.11
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-05,99.79
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-05,124.88
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-05,110.37
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-02-12,303.46
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-02-12,81.46
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-02-12,2493.16
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-02-12,276.48
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-02-12,79.85
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-02-12,109.38
